Year,Units,Series,Time series,Kategorie der letzten Verwendung,Rohstoffkategorie,Value
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,776.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,766.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,834.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,783.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,796.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,794.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,771.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,771.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",154.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",167.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",146.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",155.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",148.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",158.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",159.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",166.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",170.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",171.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",150.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",166.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,164.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,168.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,177.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,179.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,194.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,189.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,188.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,190.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,175.0
